Chemin vers le fichier CSS	Nom du style	TypeDeContenu	Composant	Niveau de titre	Type standard HTML	Nom de la police de caractère	Taille de la police de caractère	Gras : oui / non	Italique : oui / non	Couleur
app/content-styles.css	.temoignage.nom	listeDeTemoignages	Temoignages	-	Titre		18.2px	non	non	
app/content-styles.css	.temoignage.fonction, .temoignage.temoignage	listeDeTemoignages	Temoignages	-	Normal (paragraphe)		1.25rem	non	non	
app/content-styles.css	.hero.titre	hero	HeroSection	-	Titre		2.5rem	non	non	
app/content-styles.css	.hero.sousTitre	hero	HeroSection	-	-		1.25rem	non	non	
app/content-styles.css	.hero.description	hero	HeroSection	-	Normal (paragraphe)		0.75rem	non	non	
app/content-styles.css	.titreDePage.texte	titreDePage	Header	-	Normal (paragraphe)	var(--font-serif)	1.5rem	oui	non	white
app/content-styles.css	.footer .version		-	-	-		0.875rem	non	non	white
app/content-styles.css	.footer .bouton	bouton (partagé)	plusieurs	-	Bouton			non	non	inherit
app/content-styles.css	.footer .icone		-	-	-			non	non	white
app/content-styles.css	.competence.description em	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)			non	oui	
app/content-styles.css	.competence.description .markdownLink	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)			non	non	var(--BleuFonce)
app/content-styles.css	.competence.description .markdownLink:hover	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)			non	non	#005A9E
app/content-styles.css	.competence.auteur	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)	var(--font-serif)	0.525rem	non	oui	var(--color-text-default)
